solucio	iteracions	stiter	k	lambda
36	6000	100	125	0.01
41	6000	100	125	0.001
31	6000	100	125	0.0001
46	6000	200	1	1
38	6000	200	1	0.1
52	6000	200	1	0.01
39	6000	200	1	0.001
40	6000	200	1	0.0001
21	6000	200	5	1
37	6000	200	5	0.1
48	6000	200	5	0.01
31	6000	200	5	0.001
53	6000	200	5	0.0001
24	6000	200	25	1
31	6000	200	25	0.1
32	6000	200	25	0.01
40	6000	200	25	0.001
39	6000	200	25	0.0001
26	6000	200	125	1
40	6000	200	125	0.1
38	6000	200	125	0.01
42	6000	200	125	0.001
34	6000	200	125	0.0001
17	6000	300	1	1
37	6000	300	1	0.1
42	6000	300	1	0.01
41	6000	300	1	0.001
49	6000	300	1	0.0001
43	6000	300	5	1
33	6000	300	5	0.1
34	6000	300	5	0.01
35	6000	300	5	0.001
33	6000	300	5	0.0001
30	6000	300	25	1
34	6000	300	25	0.1
40	6000	300	25	0.01
47	6000	300	25	0.001
51	6000	300	25	0.0001
38	6000	300	125	1
47	6000	300	125	0.1
30	6000	300	125	0.01
31	6000	300	125	0.001
37	6000	300	125	0.0001
40	6000	400	1	1
44	6000	400	1	0.1
39	6000	400	1	0.01
42	6000	400	1	0.001
37	6000	400	1	0.0001
18	6000	400	5	1
42	6000	400	5	0.1
51	6000	400	5	0.01
40	6000	400	5	0.001
30	6000	400	5	0.0001
14	6000	400	25	1
30	6000	400	25	0.1
39	6000	400	25	0.01
44	6000	400	25	0.001
35	6000	400	25	0.0001
22	6000	400	125	1
43	6000	400	125	0.1
39	6000	400	125	0.01
30	6000	400	125	0.001
32	6000	400	125	0.0001
16	6000	500	1	1
32	6000	500	1	0.1
50	6000	500	1	0.01
35	6000	500	1	0.001
31	6000	500	1	0.0001
19	6000	500	5	1
38	6000	500	5	0.1
45	6000	500	5	0.01
31	6000	500	5	0.001
30	6000	500	5	0.0001
19	6000	500	25	1
46	6000	500	25	0.1
53	6000	500	25	0.01
38	6000	500	25	0.001
26	6000	500	25	0.0001
28	6000	500	125	1
30	6000	500	125	0.1
36	6000	500	125	0.01
44	6000	500	125	0.001
30	6000	500	125	0.0001
17	8000	100	1	1
44	8000	100	1	0.1
41	8000	100	1	0.01
40	8000	100	1	0.001
37	8000	100	1	0.0001
41	8000	100	5	1
44	8000	100	5	0.1
35	8000	100	5	0.01
36	8000	100	5	0.001
42	8000	100	5	0.0001
10	8000	100	25	1
34	8000	100	25	0.1
28	8000	100	25	0.01
38	8000	100	25	0.001
32	8000	100	25	0.0001
30	8000	100	125	1
43	8000	100	125	0.1
44	8000	100	125	0.01
32	8000	100	125	0.001
37	8000	100	125	0.0001
21	8000	200	1	1
42	8000	200	1	0.1
39	8000	200	1	0.01
42	8000	200	1	0.001
29	8000	200	1	0.0001
15	8000	200	5	1
42	8000	200	5	0.1
40	8000	200	5	0.01
36	8000	200	5	0.001
38	8000	200	5	0.0001
17	8000	200	25	1
36	8000	200	25	0.1
45	8000	200	25	0.01
51	8000	200	25	0.001
58	8000	200	25	0.0001
25	8000	200	125	1
30	8000	200	125	0.1
51	8000	200	125	0.01
41	8000	200	125	0.001
36	8000	200	125	0.0001
23	8000	300	1	1
37	8000	300	1	0.1
45	8000	300	1	0.01
61	8000	300	1	0.001
31	8000	300	1	0.0001
27	8000	300	5	1
34	8000	300	5	0.1
38	8000	300	5	0.01
42	8000	300	5	0.001
49	8000	300	5	0.0001
14	8000	300	25	1
37	8000	300	25	0.1
33	8000	300	25	0.01
51	8000	300	25	0.001
36	8000	300	25	0.0001
29	8000	300	125	1
35	8000	300	125	0.1
29	8000	300	125	0.01
47	8000	300	125	0.001
49	8000	300	125	0.0001
35	8000	400	1	1
44	8000	400	1	0.1
34	8000	400	1	0.01
34	8000	400	1	0.001
32	8000	400	1	0.0001
2	8000	400	5	1
39	8000	400	5	0.1
31	8000	400	5	0.01
38	8000	400	5	0.001
34	8000	400	5	0.0001
15	8000	400	25	1
40	8000	400	25	0.1
45	8000	400	25	0.01
41	8000	400	25	0.001
41	8000	400	25	0.0001
24	8000	400	125	1
44	8000	400	125	0.1
56	8000	400	125	0.01
32	8000	400	125	0.001
36	8000	400	125	0.0001
40	8000	500	1	1
52	8000	500	1	0.1
52	8000	500	1	0.01
41	8000	500	1	0.001
47	8000	500	1	0.0001
27	8000	500	5	1
41	8000	500	5	0.1
39	8000	500	5	0.01
31	8000	500	5	0.001
33	8000	500	5	0.0001
22	8000	500	25	1
37	8000	500	25	0.1
29	8000	500	25	0.01
38	8000	500	25	0.001
32	8000	500	25	0.0001
13	8000	500	125	1
40	8000	500	125	0.1
39	8000	500	125	0.01
36	8000	500	125	0.001
40	8000	500	125	0.0001
34	10000	100	1	1
48	10000	100	1	0.1
44	10000	100	1	0.01
46	10000	100	1	0.001
38	10000	100	1	0.0001
29	10000	100	5	1
32	10000	100	5	0.1
38	10000	100	5	0.01
46	10000	100	5	0.001
40	10000	100	5	0.0001
14	10000	100	25	1
67	10000	100	25	0.1
37	10000	100	25	0.01
44	10000	100	25	0.001
37	10000	100	25	0.0001
30	10000	100	125	1
42	10000	100	125	0.1
52	10000	100	125	0.01
40	10000	100	125	0.001
42	10000	100	125	0.0001
45	10000	200	1	1
32	10000	200	1	0.1
38	10000	200	1	0.01
43	10000	200	1	0.001
29	10000	200	1	0.0001
24	10000	200	5	1
43	10000	200	5	0.1
46	10000	200	5	0.01
31	10000	200	5	0.001
33	10000	200	5	0.0001
18	10000	200	25	1
41	10000	200	25	0.1
50	10000	200	25	0.01
38	10000	200	25	0.001
41	10000	200	25	0.0001
8	10000	200	125	1
52	10000	200	125	0.1
42	10000	200	125	0.01
38	10000	200	125	0.001
42	10000	200	125	0.0001
27	10000	300	1	1
45	10000	300	1	0.1
43	10000	300	1	0.01
35	10000	300	1	0.001
36	10000	300	1	0.0001
47	10000	300	5	1
40	10000	300	5	0.1
37	10000	300	5	0.01
39	10000	300	5	0.001
42	10000	300	5	0.0001
36	10000	300	25	1
40	10000	300	25	0.1
35	10000	300	25	0.01
36	10000	300	25	0.001
45	10000	300	25	0.0001
9	10000	300	125	1
38	10000	300	125	0.1
39	10000	300	125	0.01
43	10000	300	125	0.001
44	10000	300	125	0.0001
32	10000	400	1	1
34	10000	400	1	0.1
39	10000	400	1	0.01
41	10000	400	1	0.001
39	10000	400	1	0.0001
18	10000	400	5	1
47	10000	400	5	0.1
48	10000	400	5	0.01
35	10000	400	5	0.001
41	10000	400	5	0.0001
23	10000	400	25	1
46	10000	400	25	0.1
35	10000	400	25	0.01
47	10000	400	25	0.001
43	10000	400	25	0.0001
25	10000	400	125	1
42	10000	400	125	0.1
38	10000	400	125	0.01
38	10000	400	125	0.001
37	10000	400	125	0.0001
21	10000	500	1	1
27	10000	500	1	0.1
47	10000	500	1	0.01
37	10000	500	1	0.001
40	10000	500	1	0.0001
21	10000	500	5	1
37	10000	500	5	0.1
48	10000	500	5	0.01
31	10000	500	5	0.001
38	10000	500	5	0.0001
25	10000	500	25	1
26	10000	500	25	0.1
36	10000	500	25	0.01
50	10000	500	25	0.001
47	10000	500	25	0.0001
10	10000	500	125	1
35	10000	500	125	0.1
52	10000	500	125	0.01
52	10000	500	125	0.001
52	10000	500	125	0.0001

